object_type,condition,label,frame_number,timestamp,point_id,x,y,z,range,velocity_radial,velocity_x,velocity_y,velocity_z,velocity_magnitude,is_moving,motion_type,snr,noise,peak_value,rcs,azimuth,elevation,doppler_idx,range_idx,condition_confidence
ball,moving,ball_moving,12,12.885692895,4,0.0,0.044,0.0,0.044,8.560000000000002,0.0,8.560000000000002,0.0,8.560000000000002,True,fast,34.912,10.0,64.912,-58.753500316190014,0.0,0.0,912,1,1.0
ball,moving,ball_moving,12,12.885692895,5,0.0,0.264,0.0,0.264,6.24,0.0,6.24,0.0,6.24,True,fast,34.472,10.0,64.47200000000001,-43.08394465403776,0.0,0.0,48,6,1.0
ball,moving,ball_moving,13,13.13569252,0,-0.08196814055493398,13.463750488772952,0.0,13.463999999999999,6.11,-0.03719736622033918,6.1098867711231994,0.0,6.11,True,fast,8.072000000000003,10.0,38.072,-6.632488755758054,-0.34881591796875,0.0,47,306,1.0
ball,moving,ball_moving,13,13.13569252,1,0.0,1.98,0.0,1.98,4.780000000000001,0.0,4.780000000000001,0.0,4.780000000000001,True,medium,31.04,10.0,61.04,-16.237466601489537,0.0,0.0,806,45,1.0
ball,moving,ball_moving,13,13.13569252,2,0.0,44.175999999999995,0.0,44.175999999999995,6.24,0.0,6.24,0.0,6.24,True,fast,5.0,10.0,35.0,10.846735150963283,0.0,0.0,48,1004,1.0
ball,moving,ball_moving,13,13.13569252,3,0.012478161194502117,7.655989831203618,0.0,7.656,0.9200000000000159,0.0014994655562881592,0.9199987780443379,0.0,0.9200000000000159,True,slow,19.688000000000002,10.0,49.688,-4.726487983733286,0.0933837890625,0.0,1084,174,1.0
ball,moving,ball_moving,13,13.13569252,4,0.0,0.044,0.0,0.044,8.430000000000007,0.0,8.430000000000007,0.0,8.430000000000007,True,fast,34.912,10.0,64.912,-58.753500316190014,0.0,0.0,911,1,1.0
ball,moving,ball_moving,13,13.13569252,5,0.0,0.264,0.0,0.264,6.24,0.0,6.24,0.0,6.24,True,fast,34.472,10.0,64.47200000000001,-43.08394465403776,0.0,0.0,48,6,1.0
ball,moving,ball_moving,14,13.385692535,0,-0.08196814055493398,13.463750488772952,0.0,13.463999999999999,6.11,-0.03719736622033918,6.1098867711231994,0.0,6.11,True,fast,8.072000000000003,10.0,38.072,-6.632488755758054,-0.34881591796875,0.0,47,306,1.0
ball,moving,ball_moving,14,13.385692535,1,0.0,1.98,0.0,1.98,5.170000000000002,0.0,5.170000000000002,0.0,5.170000000000002,True,fast,31.04,10.0,61.04,-16.237466601489537,0.0,0.0,809,45,1.0
